"ANIO","CodDane","TOTAL Terminales MinTIC","PC entregados MinTIC","Tabletas MinTIC Estudiantes","Tabletas MinTIC Docentes","PC MinTIC Docentes","Retoma de PC","Docentes Formados","Padres Capacitados","Tabletas aportadas por ET","PC aportados por ET","FECHA_CORTE","Inversión","Niños por terminal municipal","Niños por terminal departamental","DEPARTAMENTO","Meta Terminales entregadas Mintic","Meta Docentes Formados","Meta Padres Capacitados","Meta Retoma de PC","VIGENCIA","Demanufactura (toneladas)","meta Demanufactura","docentes acompañados","Meta docentes acompañados","Sedes beneficiadas"
"2022","68464",,"0","0","0","0","0","1",",00","0","0","2022-09-30",",00","6,00","5,00","SANTANDER","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00","1,00","4000,00",",00"
"2022","19517",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","5,00","4,01","CAUCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","76736",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","4,00","2,92","VALLE DEL CAUCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","17665",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","3,00","3,23","CALDAS","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","68773",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","4,00","5,00","SANTANDER","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","15189",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","3,00","5,00","BOYACA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","68522",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","6,00","5,00","SANTANDER","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","54250",,"0","0","0","0","0","5",",00","0","0","2022-10-31",",00","7,00","4,00","NORTE DE SANTANDER","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","5,00","4000,00",",00"
"2022","17088",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","2,00","3,23","CALDAS","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","73563",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","6,00","3,00","TOLIMA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","25035",,"0","0","0","0","0","1",",00","0","0","2022-09-30",",00","3,00","2,00","CUNDINAMARCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00","1,00","4000,00",",00"
"2022","05674",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","2,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","23350",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","1,00","4,00","CORDOBA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","54125",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","1,00","4,00","NORTE DE SANTANDER","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","50313",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","4,00","4,00","META","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","23678",,"0","0","0","0","0","1",",00","0","0","2022-09-30",",00","2,00","4,00","CORDOBA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00","1,00","4000,00",",00"
"2022","19212",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","4,00","4,01","CAUCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","68524",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","6,00","5,00","SANTANDER","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","25178",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","2,00","2,00","CUNDINAMARCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","13248",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","7,00","6,77","BOLIVAR","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","08549",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","2,00","5,51","ATLANTICO","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","05282",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","4,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","52788",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","2,00","4,00","NARI�O","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
